year,group,index,name,type,performers,note,
1986,第一组,1,歌曲大联唱（天仙配）,歌曲,郑绪岚 牟玄甫,,
1986,第一组,1,歌曲大联唱（回娘家）,歌曲,李维康,,
1986,第一组,1,歌曲大联唱（阿里山的姑娘）,歌曲,郁钧剑,,
1986,第一组,1,歌曲大联唱（我的祖国）,歌曲,彭丽媛,,
1986,第一组,1,歌曲大联唱（我们的生活充满阳光）,歌曲,董文华,,
1986,第一组,1,歌曲大联唱（我的中国心）,歌曲,笑林,,
1986,第一组,1,歌曲大联唱（刘海砍樵）,歌曲,刘晓庆 姜昆,,
1986,第一组,1,歌曲大联唱（今日痛饮庆功酒）,歌曲,耿其昌 刘斌,,
1986,第一组,2,《虎年谈虎》,相声,刘伟 冯巩,,
1986,第一组,3,小魔术,魔术,冯京 金云 陈佩斯 朱时茂,,
1986,第一组,4,《红灯记》选段,京剧清唱,刘斌 李维康,,
1986,第一组,5,海豚表演,录像,,,
1986,第一组,6,谜语（气球）,互动环节,,,
1986,第一组,7,《祖国啊我永远热爱你》,歌曲,殷秀梅,,
1986,第一组,8,《追求》,歌曲,成方圆,,
1986,第一组,9,《过新年》,民歌,郁钧剑,,
1986,第一组,10,《我多想》,歌曲,成方圆,,
1986,第一组,11,《波兰舞曲》,小提琴独奏,郭昶（15岁）,,
1986,第二组,1,《怪声独唱》,相声,笑林 李国盛,,
1986,第二组,2,《送礼》,小品,李婉芬（已故，2000年） 周国治（已故，2007年3月）,,
1986,第二组,3,《鼓舞》,舞蹈,夏丽蓉,,
1986,第二组,4,婚礼,特别节目,杨晟 于民刚 薄一波（已故，2007年1月）,,
1986,第二组,5,谜语（红双喜）,互动环节,,,
1986,第二组,6,《军港之夜》《我要回到家乡去》,歌曲,苏小明,,
1986,第二组,7,《望星空》,歌曲,董文华,,
1986,第二组,8,《化蝶》《哦，明天》,歌曲,郑绪岚 牟玄甫,,
1986,第二组,9,《断桥》,戏曲联唱,陶长进 小香玉 方亚芬,,
1986,第三组,1,《零点七》,谐剧,沈伐,,
1986,第三组,2,《双回门》,舞蹈,谭金凤 梅万明等,,
1986,第三组,3,《戏迷》,相声,侯耀文（已故，2007年6月） 石富宽,,
1986,第三组,4,《空中悬人》,魔术,余剑等,,
1986,第三组,5,《吹牛》,山东快书,郭秋林,,
